TAXID,SAMPLE,SEQUENCE_ID,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,COVERAGE_PCT,IDENTITY_PCT,DATABASE,ACCESSION,PRODUCT,RESISTANCE,NAME
222,S2,94454b8f-6baa-48e2-8802-c4c3d9408e29,4494,5560,+,bplC,1-1076/1101,========/======,15-Aug,96.64,82.3,vfdb,WP_010929614,(bplC) lipopolysaccharide biosynthesis protein [LPS (VF0033) - Immune modulation (VFC0258)] [Bordetella pertussis Tohama I],NA,Achromobacter
222,S2,d76ba9dd-45d9-4ffe-8ac8-94d13139cd01,2121,2681,+,bplB,9-568/576,========/======,13-Sep,96.18,80.25,vfdb,WP_003807114,(bplB) probable acetyltransferase [LPS (VF0033) - Immune modulation (VFC0258)] [Bordetella pertussis Tohama I],NA,Achromobacter
222,S2,94454b8f-6baa-48e2-8802-c4c3d9408e29,2877,3915,+,bplA,12-1053/1053,========/======,14/19,97.91,82,vfdb,WP_003807115,(bplA) probable oxidoreductase [LPS (VF0033) - Immune modulation (VFC0258)] [Bordetella pertussis Tohama I],NA,Achromobacter
217204,S2,ea4e9612-6a2c-407c-b4b3-b36bc45f6345,9832,10567,+,brkB,39-776/891,========/=====.,8-Apr,82.27,80.16,vfdb,WP_003808614,(brkB) serum resistance protein [Brk (VF0034) - Immune modulation (VFC0258)] [Bordetella pertussis Tohama I],NA,Achromobacter insolitus
3047478,S2,77deb4d2-95d5-4f5b-adab-dab40215e7df,3501,4600,-,AxyX,1-1110/1176,========/======,22-Nov,93.03,81.9,card,AFRQ01000061.1:28306-27130,AxyX is the inner membrane transporter of the AxyXY-OprZ efflux pump system in Achromobacter spp.,aminoglycoside;cephalosporin;fluoroquinolone;macrolide,Achromobacter seleniivolatilans
3047478,S2,4c453b40-6d85-4f91-b914-df8661e04dd5,1096,2202,+,AxyX,1-1115/1176,========/======,14-Sep,93.88,82.65,card,AFRQ01000061.1:28306-27130,AxyX is the inner membrane transporter of the AxyXY-OprZ efflux pump system in Achromobacter spp.,aminoglycoside;cephalosporin;fluoroquinolone;macrolide,Achromobacter seleniivolatilans
3047478,S2,77deb4d2-95d5-4f5b-adab-dab40215e7df,328,3439,-,AxyY,1-3138/3138,========/======,46/92,98.12,84.67,card,AFRQ01000061.1:27124-23986,AxyY is the periplasmic adaptor protein of the AxyXY-OprZ efflux pump system in Achromobacter spp.,aminoglycoside;cephalosporin;fluoroquinolone;macrolide,Achromobacter seleniivolatilans
2860286,S2,91f78e88-9082-4a58-93f7-54a32e29d85e,4235,5294,+,bplC,1-1071/1101,========/======,15-Nov,96.09,83.5,vfdb,WP_010929614,(bplC) lipopolysaccharide biosynthesis protein [LPS (VF0033) - Immune modulation (VFC0258)] [Bordetella pertussis Tohama I],NA,Achromobacter sp. ES-001
2860286,S2,91f78e88-9082-4a58-93f7-54a32e29d85e,3667,4224,+,bplB,9-568/576,========/======,4-Mar,96.7,81.28,vfdb,WP_003807114,(bplB) probable acetyltransferase [LPS (VF0033) - Immune modulation (VFC0258)] [Bordetella pertussis Tohama I],NA,Achromobacter sp. ES-001
2069367,S2,e7939abc-ec70-43bd-9b4f-9c06db050de7,2,887,-,bplA,12-893/1053,========/====..,12-Jul,83.38,81.8,vfdb,WP_003807115,(bplA) probable oxidoreductase [LPS (VF0033) - Immune modulation (VFC0258)] [Bordetella pertussis Tohama I],NA,Achromobacter veterisilvae
85698,S2,cbd9d8cf-9f15-4fcb-bc86-34800ea87aa0,10,1104,+,AxyX,27-1116/1176,========/======,16/33,91.5,82.15,card,AFRQ01000061.1:28306-27130,AxyX is the inner membrane transporter of the AxyXY-OprZ efflux pump system in Achromobacter spp.,aminoglycoside;cephalosporin;fluoroquinolone;macrolide,Achromobacter xylosoxidans
85698,S2,cbd9d8cf-9f15-4fcb-bc86-34800ea87aa0,1162,3684,+,AxyY,1-2540/3138,========/====..,25/37,80.08,86.94,card,AFRQ01000061.1:27124-23986,AxyY is the periplasmic adaptor protein of the AxyXY-OprZ efflux pump system in Achromobacter spp.,aminoglycoside;cephalosporin;fluoroquinolone;macrolide,Achromobacter xylosoxidans
85698,S2,f35320b0-89a2-4f30-938b-36d176ac44ee,3857,4879,+,bplC,1-1026/1101,========/======,16/27,91.83,82.85,vfdb,WP_010929614,(bplC) lipopolysaccharide biosynthesis protein [LPS (VF0033) - Immune modulation (VFC0258)] [Bordetella pertussis Tohama I],NA,Achromobacter xylosoxidans
85698,S2,f35320b0-89a2-4f30-938b-36d176ac44ee,3287,3846,+,bplB,9-568/576,========/======,10-Aug,96.35,80.89,vfdb,WP_003807114,(bplB) probable acetyltransferase [LPS (VF0033) - Immune modulation (VFC0258)] [Bordetella pertussis Tohama I],NA,Achromobacter xylosoxidans
85698,S2,d5fe7de3-1e53-4dca-8786-ab1ddbf816a6,1189,1722,-,bplB,9-533/576,========/=====.,17/23,89.93,80.78,vfdb,WP_003807114,(bplB) probable acetyltransferase [LPS (VF0033) - Immune modulation (VFC0258)] [Bordetella pertussis Tohama I],NA,Achromobacter xylosoxidans
85698,S2,d5fe7de3-1e53-4dca-8786-ab1ddbf816a6,70,1144,-,bplC,3-1076/1101,========/======,13/21,96.64,82.49,vfdb,WP_010929614,(bplC) lipopolysaccharide biosynthesis protein [LPS (VF0033) - Immune modulation (VFC0258)] [Bordetella pertussis Tohama I],NA,Achromobacter xylosoxidans
469,S9,aab51e08-9dfd-4512-ae2e-024dbc55e254,1606,2643,+,pilT,1-1038/1038,========/======,6-May,99.71,81.17,vfdb,WP_000355489,(pilT) type IV pilus twitching motility protein PilT [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],NA,Acinetobacter
469,S13,c5620720-d7a3-461e-acc0-8b9d148bee5f,6215,7058,+,OXA-648,1-839/840,========/======,16/25,98.69,93.56,card,NG_065434.1:0-840,OXA-648 is a beta-lactamase in the OXA-134 family of OXA beta-lactamases that confers resistance to ampicillin and cephalothin.,carbapenem;penam,Acinetobacter
469,S2,49b85af7-34b7-4688-9d14-e23f72d831ef,4926,5730,+,OXA-134,1-822/822,========/======,29/55,95.62,88.7,card,HQ122933.1:0-822,OXA-134 is a beta-lactamase found in A. lwoffii.,carbapenem;penam,Acinetobacter
469,S5,d0e35abd-fa61-46cb-9a9d-cac414b53ae4,1308,2216,-,pilT,34-944/1038,========/=====.,10-Aug,87.19,81.53,vfdb,WP_000355489,(pilT) type IV pilus twitching motility protein PilT [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],NA,Acinetobacter
469,S9,ee3f046e-d120-4a58-a256-41dadc297fbe,1023,2039,+,pilT,1-1038/1038,========/======,14/27,97.69,80.11,vfdb,WP_000355489,(pilT) type IV pilus twitching motility protein PilT [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],NA,Acinetobacter
469,S5,60dab874-3c10-4746-b50a-f60fb3997b13,2385,3323,-,pilT,1-947/1038,========/=====.,12-Jul,90.27,81.45,vfdb,WP_000355489,(pilT) type IV pilus twitching motility protein PilT [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],NA,Acinetobacter
469,S13,f6f5da8e-4ea5-4f43-acfd-03827b0da63b,4115,4957,-,OXA-648,1-839/840,========/======,12-Sep,99.4,94.57,card,NG_065434.1:0-840,OXA-648 is a beta-lactamase in the OXA-134 family of OXA beta-lactamases that confers resistance to ampicillin and cephalothin.,carbapenem;penam,Acinetobacter
469,S5,5b664c16-52a9-48df-a868-ff2a07d02460,929,1750,+,OXA-282,1-831/831,========/======,19-Dec,98.32,96.65,card,AMFJ01001993.1:70-901,OXA-282 is a beta-lactamase found in Acinetobacter spp.,carbapenem;penam,Acinetobacter
469,S2,3b1ab09c-16ac-4d7a-9e1a-2aeeab6ce6ae,392,1216,-,OXA-282,1-831/831,========/======,6-May,99.28,97.83,card,AMFJ01001993.1:70-901,OXA-282 is a beta-lactamase found in Acinetobacter spp.,carbapenem;penam,Acinetobacter
469,S32,526e3a0f-7435-4410-92aa-f28010191710,1588,3017,-,msrE,49-1476/1476,========/======,47/74,94.31,91.27,card,EU294228.1:21241-22717,MsrE is an ABC-F subfamily protein expressed to Klebsiella pneumoniae that confers resistance to erythromycin and streptogramin B antibiotics. It is associated with plasmid DNA. It is also 100% identical to ABC-F type ribosomal protection protein Msr(E) which is in multiple species.,macrolide;streptogramin,Acinetobacter
469,S21,00068c27-34a2-4b75-a936-775ec8f0093d,11,842,-,OXA-284,1-831/831,========/======,9-Jul,99.52,95.69,card,APRU01000004.1:72684-73515,OXA-284 is a beta-lactamase found in Acinetobacter spp.,carbapenem;penam,Acinetobacter
469,S22,744b46b8-698f-4c6b-80aa-1b455bfb59c3,3225,4264,+,ompA,1-1044/1071,========/======,17/30,95.89,81.93,vfdb,WP_000777882,(ompA) outer membrane protein OmpA [OmpA (VF0464) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],NA,Acinetobacter
469,S13,5fb059b6-72f2-467c-a6eb-9a7f856b3f6a,1301,2130,+,OXA-648,1-839/840,========/======,17/33,97.38,92.48,card,NG_065434.1:0-840,OXA-648 is a beta-lactamase in the OXA-134 family of OXA beta-lactamases that confers resistance to ampicillin and cephalothin.,carbapenem;penam,Acinetobacter
469,S5,81a5ceda-0b5e-4c11-aa43-c753d0b6bf50,1114,1933,+,OXA-647,1-822/822,========/======,4-Feb,99.64,99.27,card,NG_065433.1:0-822,OXA-647 is a beta-lactamase in the OXA-134 family of OXA beta-lactamases that confers resistance to ampicillin and cephalothin.,carbapenem;penam,Acinetobacter
469,S13,a9ba061e-29c9-4ead-85e8-1a4fe96c603f,4228,5060,+,OXA-648,1-839/840,========/======,14/24,98.1,92.45,card,NG_065434.1:0-840,OXA-648 is a beta-lactamase in the OXA-134 family of OXA beta-lactamases that confers resistance to ampicillin and cephalothin.,carbapenem;penam,Acinetobacter
469,S7,3b375b3d-74da-4503-bc8d-d1a26cdf89e2,4746,5126,-,pilG,1-384/384,========/======,13-Jun,97.92,80.46,vfdb,WP_000389061,(pilG) twitching motility response regulator PilG [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],NA,Acinetobacter
469,S21,bc9787d9-f627-479e-b9a5-4ac23edd21c4,6286,7098,-,OXA-284,3-831/831,========/======,22/36,96.63,90.94,card,APRU01000004.1:72684-73515,OXA-284 is a beta-lactamase found in Acinetobacter spp.,carbapenem;penam,Acinetobacter
469,S9,94b0a200-222c-436b-a371-b3e214a5b3ae,11015,12054,+,ompA,1-1046/1071,========/======,18/38,95.61,80.6,vfdb,WP_000777882,(ompA) outer membrane protein OmpA [OmpA (VF0464) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],NA,Acinetobacter
469,S9,5c2289e6-05d7-446e-9979-1c6294a90929,6,738,-,OXA-284,1-738/831,========/=====.,24/43,85.92,86.79,card,APRU01000004.1:72684-73515,OXA-284 is a beta-lactamase found in Acinetobacter spp.,carbapenem;penam,Acinetobacter
469,S32,0529ad2b-f566-4cd7-869c-f52d6d5e7ed2,2894,3771,+,mphE,1-885/885,========/======,17/29,97.97,94.31,card,DQ839391.1:13757-12872,mphE is a macrolide phosphotransferase and resistance gene identified on a plasmid pRSB105.,macrolide,Acinetobacter
469,S5,81a5ceda-0b5e-4c11-aa43-c753d0b6bf50,4666,5487,-,OXA-647,1-822/822,========/======,8-May,99.51,98.31,card,NG_065433.1:0-822,OXA-647 is a beta-lactamase in the OXA-134 family of OXA beta-lactamases that confers resistance to ampicillin and cephalothin.,carbapenem;penam,Acinetobacter
469,S2,20124ff1-fc0c-4c19-9854-ff19c16497ea,1214,2028,+,OXA-134,5-822/822,========/======,16/21,98.05,95.77,card,HQ122933.1:0-822,OXA-134 is a beta-lactamase found in A. lwoffii.,carbapenem;penam,Acinetobacter
469,S13,c7ad02e9-6089-4e6c-9e54-b0243b558af5,32818,33646,+,OXA-648,1-839/840,========/======,20/36,97.14,89.67,card,NG_065434.1:0-840,OXA-648 is a beta-lactamase in the OXA-134 family of OXA beta-lactamases that confers resistance to ampicillin and cephalothin.,carbapenem;penam,Acinetobacter
469,S5,6abdddae-9462-4fd5-b7b4-036fc8a0fbb0,2071,2984,-,pilT,119-1038/1038,.=======/======,6-Mar,88.05,81.41,vfdb,WP_000355489,(pilT) type IV pilus twitching motility protein PilT [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],NA,Acinetobacter
469,S21,df5babf1-f495-4a42-8ffa-9638b4d69b5f,6271,7096,+,OXA-284,1-831/831,========/======,20/31,97.83,90.05,card,APRU01000004.1:72684-73515,OXA-284 is a beta-lactamase found in Acinetobacter spp.,carbapenem;penam,Acinetobacter
469,S2,ee355ee6-df82-4d49-80a4-64beee31a092,12823,13205,+,pilG,1-384/384,========/======,5-Apr,99.22,80.83,vfdb,WP_000389061,(pilG) twitching motility response regulator PilG [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],NA,Acinetobacter
469,S2,43d89a0a-0ff1-4188-bdd3-be4b3fd272c6,10002,10822,+,OXA-496,1-818/840,========/======,9-Jul,97.02,97.21,card,NG_050781.1:0-840,OXA-496 is a beta-lactamase in the OXA-134 family of OXA beta-lactamases that confers resistance to ampicillin and cephalothin.,carbapenem;penam,Acinetobacter
469,S5,46519262-e055-439a-bcb1-356852884abb,11,951,+,pilT,1-947/1038,========/=====.,6-Feb,90.66,82.68,vfdb,WP_000355489,(pilT) type IV pilus twitching motility protein PilT [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],NA,Acinetobacter
469,S2,88135c33-6b1f-4b8f-9dc3-325d83328dfd,44,864,-,OXA-134,1-822/822,========/======,15-Sep,99.03,97.35,card,HQ122933.1:0-822,OXA-134 is a beta-lactamase found in A. lwoffii.,carbapenem;penam,Acinetobacter
469,S21,e48c4798-606d-4dbb-b0ea-144f28baa66f,1973,2355,-,pilG,1-384/384,========/======,7-Jun,98.96,80.88,vfdb,WP_000389061,(pilG) twitching motility response regulator PilG [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],NA,Acinetobacter
469,S5,0e453f30-19b2-4c23-b9dd-8b987d5974ed,553,1562,-,pilT,1-1026/1038,========/======,13/20,97.11,80.06,vfdb,WP_000355489,(pilT) type IV pilus twitching motility protein PilT [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],NA,Acinetobacter
469,S7,e5a46144-0b7b-49d1-acd3-297b0c7c22ca,1234,2234,-,pilT,37-1038/1038,========/======,14/21,95.47,80.63,vfdb,WP_000355489,(pilT) type IV pilus twitching motility protein PilT [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],NA,Acinetobacter
469,S2,bd248555-ce92-4c77-a30d-d9f1c4a98a5d,8144,9172,+,ompA,1-1033/1071,========/======,21/32,94.77,80.42,vfdb,WP_000777882,(ompA) outer membrane protein OmpA [OmpA (VF0464) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],NA,Acinetobacter
469,S5,4b05d12b-5042-4823-8c73-ef67d3fa2148,1061,2097,-,pilT,1-1038/1038,========/======,15-Sep,99.23,80.38,vfdb,WP_000355489,(pilT) type IV pilus twitching motility protein PilT [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],NA,Acinetobacter
469,S32,526e3a0f-7435-4410-92aa-f28010191710,656,1532,-,mphE,1-885/885,========/======,21/36,97.51,93.55,card,DQ839391.1:13757-12872,mphE is a macrolide phosphotransferase and resistance gene identified on a plasmid pRSB105.,macrolide,Acinetobacter
469,S21,259b4e34-71e8-42b4-b831-c70aabf7c52f,2005,3038,+,pilT,1-1038/1038,========/======,12-Oct,99.23,80.13,vfdb,WP_000355489,(pilT) type IV pilus twitching motility protein PilT [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],NA,Acinetobacter
469,S21,b056686a-5786-4b13-a5ff-c59d4380ff7c,3697,4737,-,pilT,1-1038/1038,========/======,18/23,99.04,80.02,vfdb,WP_000355489,(pilT) type IV pilus twitching motility protein PilT [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],NA,Acinetobacter
469,S5,60dab874-3c10-4746-b50a-f60fb3997b13,797,1832,+,pilT,2-1038/1038,========/======,13/19,98.94,80.11,vfdb,WP_000355489,(pilT) type IV pilus twitching motility protein PilT [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],NA,Acinetobacter
469,S2,e6acfc7d-72ff-47fc-9d57-7f89bd2e026d,6991,8009,-,pilT,22-1038/1038,========/======,13/18,97.21,80.53,vfdb,WP_000355489,(pilT) type IV pilus twitching motility protein PilT [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],NA,Acinetobacter
469,S5,5b4aaa5d-6da1-4476-bea8-a5dce8433af0,942,1974,-,pilT,1-1038/1038,========/======,13-Sep,99.13,80.9,vfdb,WP_000355489,(pilT) type IV pilus twitching motility protein PilT [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],NA,Acinetobacter
469,S5,ae54c135-f1f6-40e1-a0ba-3a12a73befe7,456,838,+,pilG,1-384/384,========/======,1-Jan,99.74,82.03,vfdb,WP_000389061,(pilG) twitching motility response regulator PilG [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],NA,Acinetobacter
469,S21,e9218fe4-cdbe-4cb0-8876-d79bb9ee9e4b,497,876,-,pilG,1-384/384,========/======,8-Jun,98.44,80.57,vfdb,WP_000389061,(pilG) twitching motility response regulator PilG [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],NA,Acinetobacter
469,S21,8f4cecfc-a698-4930-804e-a9a918aa8743,10,838,-,OXA-284,4-831/831,========/======,23-Dec,98.32,93.21,card,APRU01000004.1:72684-73515,OXA-284 is a beta-lactamase found in Acinetobacter spp.,carbapenem;penam,Acinetobacter
469,S5,49016732-f66e-4e87-990f-db0076b7389e,499,1519,-,pilT,1-1026/1038,========/======,11-Jul,98.07,80.37,vfdb,WP_000355489,(pilT) type IV pilus twitching motility protein PilT [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],NA,Acinetobacter
469,S32,098bb794-8ae5-4380-96ec-2164ef5a3d8f,3490,4341,+,mphE,1-885/885,========/======,22/43,95.71,91.57,card,DQ839391.1:13757-12872,mphE is a macrolide phosphotransferase and resistance gene identified on a plasmid pRSB105.,macrolide,Acinetobacter
469,S22,c5badf23-b3ea-42e1-95b8-1a76ff343dd8,605,1435,-,OXA-284,1-831/831,========/======,12-Sep,99.28,95.1,card,APRU01000004.1:72684-73515,OXA-284 is a beta-lactamase found in Acinetobacter spp.,carbapenem;penam,Acinetobacter
469,S13,51797dda-79b7-41b1-823a-941837a30959,2517,3340,-,OXA-648,5-839/840,========/======,19-Aug,97.62,94.52,card,NG_065434.1:0-840,OXA-648 is a beta-lactamase in the OXA-134 family of OXA beta-lactamases that confers resistance to ampicillin and cephalothin.,carbapenem;penam,Acinetobacter
469,S22,a4633955-08cd-4c9c-83c6-99e3e581a10b,890,1926,-,ompA,1-1044/1071,========/======,15/27,95.89,81.78,vfdb,WP_000777882,(ompA) outer membrane protein OmpA [OmpA (VF0464) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],NA,Acinetobacter
469,S31,82fdeb59-e006-43bd-afb7-24d539333889,10199,11253,-,ompA,1-1044/1071,========/======,16/43,95.99,80.11,vfdb,WP_000777882,(ompA) outer membrane protein OmpA [OmpA (VF0464) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],NA,Acinetobacter
469,S2,383c1f94-04f4-4c18-ab7a-ab4dbdb508b0,4475,5286,-,OXA-496,1-820/840,========/======,27/46,94.4,90.47,card,NG_050781.1:0-840,OXA-496 is a beta-lactamase in the OXA-134 family of OXA beta-lactamases that confers resistance to ampicillin and cephalothin.,carbapenem;penam,Acinetobacter
469,S21,e9da9996-4b56-4edf-9f6d-f6cb5f4413d1,7389,8200,+,OXA-284,1-831/831,========/======,19/29,97.11,89,card,APRU01000004.1:72684-73515,OXA-284 is a beta-lactamase found in Acinetobacter spp.,carbapenem;penam,Acinetobacter
469,S29,40b669c9-8dce-47eb-96e2-3988349854f0,1368,2195,+,OXA-284,1-824/831,========/======,10-Jun,98.8,96.63,card,APRU01000004.1:72684-73515,OXA-284 is a beta-lactamase found in Acinetobacter spp.,carbapenem;penam,Acinetobacter
469,S2,c482c32f-a580-420d-ae8b-302dd9bee13d,708,1091,+,pilG,1-384/384,========/======,4-Apr,99.48,81.35,vfdb,WP_000389061,(pilG) twitching motility response regulator PilG [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],NA,Acinetobacter
469,S2,7de5e4bc-5a55-4e02-a9aa-cfed122a8e31,5515,6554,+,pilT,1-1038/1038,========/======,4-Mar,99.9,81.08,vfdb,WP_000355489,(pilT) type IV pilus twitching motility protein PilT [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],NA,Acinetobacter
469,S2,6f5d1904-2135-4ec8-b768-91a5a0d00409,1038,1856,+,OXA-134,1-822/822,========/======,13-Sep,99.03,97.1,card,HQ122933.1:0-822,OXA-134 is a beta-lactamase found in A. lwoffii.,carbapenem;penam,Acinetobacter
469,S2,660f5677-12f0-4700-95f6-28c1489acad9,217,1032,-,OXA-496,1-820/840,========/======,12-Jul,96.67,96.97,card,NG_050781.1:0-840,OXA-496 is a beta-lactamase in the OXA-134 family of OXA beta-lactamases that confers resistance to ampicillin and cephalothin.,carbapenem;penam,Acinetobacter
469,S5,6c836f09-e2e0-47dd-ab21-95e5b2c6fca4,2628,3413,+,OXA-134,1-791/822,========/======,9-Sep,95.38,97.73,card,HQ122933.1:0-822,OXA-134 is a beta-lactamase found in A. lwoffii.,carbapenem;penam,Acinetobacter
469,S28,7903eda7-210c-4240-9aba-d63744df2f8f,303,679,-,pilG,12-384/384,========/======,6-Apr,96.88,82.28,vfdb,WP_000389061,(pilG) twitching motility response regulator PilG [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],NA,Acinetobacter
469,S2,6fd7f36c-b88c-48d2-a2ab-57a618f70e5d,6493,7319,-,OXA-362,4-831/831,========/======,16/27,97.95,93.34,card,KF460532.1:0-831,OXA-362 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.,carbapenem;penam,Acinetobacter
469,S14,79b81f0a-f714-4020-982e-19164ab2f504,3249,4159,-,pilT,35-953/1038,========/=====.,16-Oct,87.38,81.26,vfdb,WP_000355489,(pilT) type IV pilus twitching motility protein PilT [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],NA,Acinetobacter
469,S30,80694af4-4030-4db6-9398-bcc781f82c17,3574,3729,+,rsmA,1-156/186,=============..,0/0,83.87,80.13,card,AF061757.1:834-1020,rsmA is a gene that regulates virulence of Pseudomonas aeruginosa. However its negative effect on MexEF-OprN overexpression has been noted to confer resistance to various antibiotics. It's Escherichia coli homolog is csrA.,diaminopyrimidine;fluoroquinolone;phenicol,Acinetobacter
469,S9,9a787b93-43d6-4004-b54f-3f42d209cc1c,5273,5662,+,pilG,1-384/384,========/======,8-Apr,99.74,80.31,vfdb,WP_000389061,(pilG) twitching motility response regulator PilG [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],NA,Acinetobacter
469,S32,098bb794-8ae5-4380-96ec-2164ef5a3d8f,1987,3428,+,msrE,1-1466/1476,========/======,24/44,97.02,95.6,card,EU294228.1:21241-22717,MsrE is an ABC-F subfamily protein expressed to Klebsiella pneumoniae that confers resistance to erythromycin and streptogramin B antibiotics. It is associated with plasmid DNA. It is also 100% identical to ABC-F type ribosomal protection protein Msr(E) which is in multiple species.,macrolide;streptogramin,Acinetobacter
469,S28,b16a47ff-c424-4caa-b38f-4e33dca6e0d8,10574,11607,+,pilT,1-1038/1038,========/======,12-Oct,99.23,80.42,vfdb,WP_000355489,(pilT) type IV pilus twitching motility protein PilT [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],NA,Acinetobacter
